#a	以
#a	以后
#a	以前
#aa	碍
#aa	鹌
*aabx	皑皑白雪
*hjxt	候选
hjxt	货箱
*hjxu	何幸
*hjxx	化纤
*hjxx	化学系
*hjxy	含锌
*hjxz	化学战
*hjy	含意
*hjy	含冤
*hjy	化缘
*hjya	含有
hjya	化有
hjya	会友
hjya	会有
*hjyc	货样
hjyd	合演
*hjyd	化验单
hjyd	会演
*hjyd	货源
hjye	含蕴
*hjye	合营
*hjye	华蓥
*hjyf	会要
*hjyg	会员国
*hjyg	货运
hjyh	含意
hjyh	合意
hjyh	何意
*hjyh	华裔
hjyh	化育
hjyh	会意
*hjyi	会员
*hjyi	货运站
*hjyj	华严经
*hjyk	会员卡
hjyl	含冤
hjyl	合议
hjyl	合译
hjyl	何以
*hjyl	华语
*hjyl	荒郊野岭
*hjyl	会议
*hjyl	货运量
*hjym	含义
hjym	侯爷
hjym	环境优美
*hjyn	合宜
*hjyo	合眼
*hjyq	很久以前
*hjyq	化油器
*hjyr	合影
*hjyr	后继有人
hjyr	辉映
*hjys	红极一时
*hjys	华阴市
*hjys	华蓥市
*hjys	化验室
*hjys	会议室
*hjyt	合议庭
*hjyt	欢聚一堂
*hjyt	会议厅
hjyu	含盐
*hjyu	很久以前
*hjyu	化油器
*hjyv	合阳
hjyv	华阴
*hjyv	会阴
hjyw	合用
*hjyw	何用
hjyw	化用
*hjyw	荒郊野外
hjyw	会用
*hjyx	合阳县
hjyx	合约
hjyx	华约
*hjyx	化验
hjyx	化缘
*hjyy	化验员
*hjyz	货运站
*hjz	合资
*hjz	化妆师
*hjz	化作
*hjza	何在
*hjzb	会展
*hjzc	货栈
*hjzd	化浊
hjze	合葬
*hjze	合著
hjzf	何哉
*hjzf	何者
*hjzg	合众国
*hjzg	合奏
hjzh	合资
*hjzh	合作化
hjzh	盒装
hjzh	华章
hjzh	化斋
*hjzh	化妆
hjzh	化装
hjzh	货主
hjzj	合闸
hjzj	合众
*hjzj	合作
hjzj	化作
hjzj	化做
*hjzk	会找
hjzl	候诊
*hjzl	会诊
*hjzm	含着
*hjzm	化州
*hjzn	花甲之年
*hjzo	华中
*hjzp	化妆品
*hjzr	合照
hjzs	合辙
*hjzs	合作社
*hjzs	合作市
*hjzs	候诊室
*hjzs	化州市
*hjzs	化妆师
*hjzs	化妆室
*hjzt	合租
hjzt	何种
hjzt	缓急止痛
hjzt	会长
*hjzu	会址
*hjzv	盒子
*hjzx	合纵
*hjzy	何止
hjzy	环境资源
hjzy	会战
#hk	很
#hk	护
#hka	撼
#hkal	撼
*hkam	很爱
*hkao	护岸
*hkar	很暗
#hkb	撖
hkba	很不
*hkba	惶恐不安
*hkbb	挥臂
*hkbc	很棒
hkbc	徽标
*hkbe	很薄
*hkbf	挥鞭
*hkbg	换班
*hkbi	挥别
hkbk	很
*hkbq	挥不去
*hkbr	很白
hkbr	挥兵
*hkbs	很不爽
hkbt	撖
*hkbt	挥笔
*hkbu	挥不去
*hkby	红口白牙
*hkby	虎口拔牙
*hkca	换成
*hkce	很菜
*hkcf	很充分
*hkch	护城河
*hkcj	护从
*hkck	护持
*hkcm	很差
*hkcn	很惨
*hkcq	挥斥
*hkcr	很臭
*hkcs	横空出世
hkcs	换车
*hkct	很长
hkct	换乘
*hkcu	护城
hkcu	换场
*hkcv	很丑
hkcv	挥出
*hkd	护犊子
*hkd	换掉
*hkda	很大
*hkdc	很多次
hkdc	户口调查
*hkdd	很淡
hkdg	撼动
*hkdg	挥动
*hkdi	护犊子
*hkdj	换代
hkdj	行当
*hkdk	护垫
*hkdk	换挡
hkdk	换掉
*hkdl	很对
*hkdm	行道
*hkdn	很多年
*hkdn	挥刀
*hkdq	护盾
*hkdr	很多人
*hkds	衡东
*hkds	换到
*hkdt	护短
*hkdu	换地
*hkdw	很多
*hkdx	衡东县
*hkdz	护犊子
*hkdz	挥刀
*hkew	很饿
*hkf	护发
*hkf	换防
*hkf	挥发
*hkfb	很费
*hkfc	混口饭吃
*hkfd	护法
*hkfl	换房
*hkfm	很烦
hkfn	护发
hkfn	换发
*hkfn	挥发
*hkfp	护肤品
*hkfs	汇款方式
*hkft	护符
*hkfv	护肤
hkfv	换防
hkfv	换肤
*hkfw	行风
*hkfx	挥发性
*hkfy	挥发油
*hkfz	护发
hkfz	换发
hkfz	挥发
*hkg	护国
#hkg	行
*hkgc	挥杆
*hkgf	护工
*hkgg	行规
*hkgh	很高
#hkgi	扞
#hkgi	行
*hkgj	换个
hkgo	护国
*hkgo	换岗
hkgo	换购
*hkgq	很快过去
*hkgs	航空公司
hkgs	挥戈
*hkgt	很乖
*hkgu	很快过去
*hkgv	换股
*hkgx	很高兴
hkgx	户口关系
*hkh	挥汗
*hkh	挥霍掉
#hkh	攉
*hkha	很厚
*hkhb	航空航天工业部
*hkhd	换汇
hkhd	挥汗
*hkhd	挥霍掉
*hkhe	护花
hkhh	挥毫
*hkhh	挥霍
hkhi	徽号
*hkhi	行号
*hkhj	护航舰
*hkhj	换货
#hkhj	攉
hkhj	行会
hkhj	行货
*hkhk	换换
hkhk	换行
*hkhl	花开花落
*hkhl	行话
*hkhm	很火
*hkho	换回
*hkhq	护航
*hkhs	很好
hkhs	换好
*hkhs	挥挥手
*hkht	航空航天
*hkhu	很坏
*hki	徽州
hkih	换装
*hkih	徽章
*hkij	护住
hkij	换作
*hkil	换证
*hkim	护着
hkim	挥着
hkim	徽州
*hkin	很窄
hkin	徽宗
*hkio	护罩
*hkir	护照
*hkit	行长
*hkiu	换走
*hkiv	护肘
*hkiw	很杂
*hkj	行间距
*hkjb	换届
*hkjg	换进
*hkjh	挥就
hkji	换旧
*hkji	行距
*hkjj	换件
hkjj	挥剑
*hkjj	行间距
*hkjl	挥军
hkjl	徽记
hkjn	护驾
*hkjn	行家
hkjo	护甲
*hkjo	护具
*hkjq	很近
*hkjt	换季
*hkju	很紧
*hkjw	很久
*hkjz	护驾
*hkka	挥砍
*hkke	很苦
*hkkf	很酷
*hkkn	很快
*hkky	换卡
#hkl	挥
*hkla	行列
*hklb	护理部
*hklc	护栏
hklc	护林
*hkld	挥泪
#hkle	护
*hklf	很老
*hklg	护理
*hklh	换来
*hkll	护路林
*hklm	很烂
*hklo	很累
*hklr	衡量
#hkls	挥
*hklt	很乱
*hklv	换了
*hkly	护理员
*hkmd	很没
*hkmj	航空母舰
*hkmj	护目镜
*hkmm	很美
*hkmn	很忙
*hkmo	护目
hkmo	徽墨
*hkms	很妙
*hkmv	护膜
*hkmw	换名
*hkmx	换马
*hknd	很浓
*hknf	衡南
*hknl	很难
*hkno	行内
*hkns	很可能是
*hknx	衡南县
#hko	徽
#hkod	擐
#hkoi	徊
#hkot	徽
*hkpb	壶口瀑布
*hkpd	护坡堤
*hkpd	徽派
*hkph	衡平
*hkpk	挥拍
*hkpn	很怕
*hkpq	护盘
*hkpu	护坡
*hkpv	很胖
*hkpy	海阔凭鱼跃
*hkqb	很强
*hkqc	很清楚
*hkqd	很浅
*hkqf	换取
*hkqg	很奇怪
*hkqh	护旗
*hkqi	衡器
*hkqj	很全
*hkqm	挥拳
*hkqn	行情
*hkqs	换气扇
*hkqt	换气
*hkqu	挥起
*hkqy	户口迁移
*hkqy	换钱
#hkr	捍
*hkrb	很弱
hkrg	捍
#hkrg	徨
*hkrj	黑客软件
*hkrj	换人
*hkrk	很热
*hkrs	很软
*hkry	很容易
*hks	换手
*hks	挥师
*hksa	很爽
hksd	衡水
*hksd	挥洒
*hksf	护身符
*hksh	徽商
hksh	行市
*hksi	护士长
*hksj	很傻
hksk	护手
hksk	换手
*hksk	挥手
*hksl	海枯石烂
*hksl	换手率
*hksm	护送
hksm	行数
*hkso	衡山
*hksp	很少
hksp	护师
hksp	挥师
*hksr	护身
*hkss	衡水市
*hkss	护手霜
*hkst	换算
*hksu	护士
hksu	换肾
*hksx	衡山县
*hksy	换上
*hksz	护士长
*hkta	护套
*hkth	很痛
*hktj	护体
*hktk	海阔天空
*hktl	换台
*hkts	虎口逃生
*hktt	很甜
*hktv	护腿
*hktx	虎口脱险
*hkub	很强
*hkuc	很清楚
*hkud	很浅
*hkuf	换取
*hkug	很奇怪
*hkuh	护旗
*hkui	衡器
*hkuj	很全
*hkum	挥拳
*hkun	行情
*hkus	换气扇
*hkut	换气
*hkuu	挥起
*hkuy	户口迁移
*hkuy	换钱
*hkw	护卫
*hkw	护卫舰
#hkw	换
#hkwg	衡
*hkwh	换文
*hkwi	黑客网站
*hkwj	护卫舰
*hkwj	换位
hkwj	行伍
*hkwm	换为
#hkwo	换
*hkwr	很晚
*hkwt	挥舞
*hkwv	捍卫
hkwv	护腕
hkwv	护卫
*hkwz	黑客网站
#hkx	後
*hkxc	很想
hkxc	护校
*hkxd	换洗
*hkxe	黄口小儿
hkxf	换下
*hkxf	换鞋
*hkxh	换新
*hkxj	很像
*hkxl	换心
*hkxm	很凶
*hkxo	徽县
*hkxp	很小
*hkxr	很显然
*hkxr	换血
*hkxt	很香
*hkxv	护膝
hkxv	护胸
*hkxw	很象
hkxw	後
*hkxx	很细
*hkxy	很需要
*hky	护院
*hky	换药
*hkya	换页
*hkyc	换样
*hkyd	换油
*hkye	换药
*hkye	汇款余额
*hkyf	很严
*hkyg	很远
*hkyh	换衣
*hkyi	换言之
hkyi	换喻
*hkyj	护佑
*hkyk	捍御
*hkyl	护翼
*hkym	护养
*hkyo	护眼
*hkys	航空运输
*hkys	衡阳市
*hkys	换牙
*hkyu	行业
*hkyv	衡阳
hkyv	护腰
hkyv	护院
*hkyw	换用
*hkyx	河口瑶族自治县
*hkyx	衡阳县
*hkyz	换言之
*hkz	徽州
hkzh	换装
*hkzh	徽章
*hkzj	护住
hkzj	换作
*hkzl	换证
*hkzm	护着
hkzm	挥着
hkzm	徽州
*hkzn	很窄
hkzn	徽宗
*hkzo	护罩
*hkzr	护照
*hkzt	行长
*hkzu	换走
*hkzv	护肘
*hkzw	很杂
#hl	户
#hl	话
#hla	诙
*hlam	欢爱
hlam	诙
*hlb	鹤壁市
*hlbb	鹤壁
*hlbc	话柄
*hlbe	呼伦贝尔
*hlbf	话本
*hlbh	户部
*hlbi	话别
*hlbj	合理布局
*hlbj	忽略不计
*hlbk	谎报
*hlbm	呼伦贝尔盟
*hlbp	囫囵半片
*hlbs	旱涝保收
*hlbs	鹤壁市
*hlbs	呼伦贝尔市
*hlbs	胡萝卜素
*hlbw	何乐不为
*hlcd	含量测定
*hlce	话茬
*hlci	欢唱
*hlco	欢畅
*hlct	好了疮疤忘了痛
*hlct	谎称
*hlcy	鹤草芽
*hld	鹤顶红
*hld	祸端
*hldf	鹤顶
*hldh	鹤顶红
*hldh	欢度
hldh	祸端
*hldj	画龙点睛
*hlds	葫芦岛市
*hldw	话多
#hle	谎
#hlee	户
#hleh	谎
*hlew	何乐而不为
hlew	话儿
#hlf	诃
*hlf	话费单
*hlfb	话费
*hlfc	火力发电厂
#hlfd	讧
*hlfd	话费单
*hlfd	火力发电
*hlfh	护林防火
#hlfi	诃
#hlfi	祜
*hlfl	祸福
*hlfn	鹤发
*hlfo	鹤峰
*hlfx	鹤峰县
*hlfy	话锋
*hlfz	鹤发
#hlg	罕
*hlgc	祸根
*hlge	和林格尔
*hlgf	欢歌
hlgi	罕
#hlgi	讳
*hlgl	霍林郭勒
*hlgo	鹤岗
*hlgs	鹤岗市
*hlgs	霍林郭勒市
*hlgx	和林格尔县
#hlh	翯
*hlh	欢呼声
*hlh	诨号
*hlhf	合理合法
*hlhh	互利互惠
#hlhi	翯
*hlhi	欢呼
*hlhi	慌里慌张
hlhi	诨号
*hlhl	谎话
*hlhn	祸害
*hlho	祸患
*hlhq	呼来喝去
*hlhq	晃来晃去
*hlhr	忽冷忽热
*hlhr	互谅互让
*hlhs	花里胡哨
hlhs	欢好
*hlhs	欢呼声
*hlht	糊里糊涂
*hlhu	呼来喝去
*hlhu	晃来晃去
*hlhx	化隆回族自治县
*hlhx	活灵活现
*hlhy	合理化建议
*hlhz	慌里慌张
#hli	祸
*hlic	汇率政策
*hlif	户政
*hlih	洪涝灾害
*hlih	户主
*hlim	花剌子模
*hlio	话中
hlio	祸
*hlis	罕至
*hlit	混乱状态
hliv	诃子
#hliv	扈
*hlj	户籍法
*hlj	话剧团
*hljb	汗流浃背
*hljb	话剧
*hljf	户籍法
*hljf	欢聚
*hlji	话旧
hlji	欢叫
*hljo	罕见
*hljq	鹤立鸡群
*hljs	黑龙江省
*hljs	后来居上
*hljt	户籍
*hljt	话剧团
*hlju	鹤立鸡群
hlju	户均
*hljw	祸及
*hljy	合理建议
*hlk	户口本
*hlkb	户口本
*hlkb	户口簿
*hlkd	后来看到
*hlkf	合理开发
*hlkh	毁林开荒
*hlki	户口
*hlkn	欢快
*hlkt	赫拉克利特
#hll	诨
*hlld	合理流动
*hllh	话痨
*hlls	欢乐颂
hlls	诨
*hllt	祸乱
*hllw	欢乐
*hlly	合理利用
*hlmc	话梅
*hlmi	鹤鸣
*hlmm	褐煤
*hlmm	黄粱美梦
*hlmw	户名
#hln	戽
#hlnf	戽
#hlni	戽
*hlnj	欢闹
*hlnl	获利能力
*hlno	户内
*hlpq	虎落平阳被犬欺
*hlpu	虎落平阳被犬欺
*hlpy	虎落平阳
hlqh	鹤庆
*hlqh	欢庆
*hlqx	鹤庆县
#hlr	褐
#hlrw	褐
*hlry	海陆热力性质差异
*hls	鹤山市
*hls	祸首
*hlsc	话术
*hlsd	祸水
*hlsf	祸事
*hlsg	环磷酸腺苷
*hlsh	欢送会
*hlsi	话虽
*hlsj	花落谁家
*hlsj	慌了手脚
*hlsl	话说
hlsm	户数
*hlsm	欢送
hlsm	祸首
*hlsn	欢实
*hlso	鹤山
*hlss	鹤山市
*hlss	活力四射
*hlsu	欢声
*hlsw	寒来暑往
*hlsw	褐色
*hlsy	互利双赢
*hlt	欢跳
#hlt	诲
*hlti	囫囵吞枣
hlti	话
hlti	欢跳
*hltl	后浪推前浪
*hltn	户头
hltn	话头
*hltr	话题
*hltt	话筒
*hltv	欢腾
hltv	祸胎
#hltx	诲
*hltz	囫囵吞枣
hluh	鹤庆
*hluh	欢庆
*hlux	鹤庆县
*hlw	话务量
*hlw	话务员
#hlw	欢
*hlwb	狐狸尾巴
#hlwd	鹤
*hlwi	化零为整
*hlwj	罕闻
hlwj	欢
#hlwk	欢
*hlwl	互联网络
*hlwl	话务量
*hlww	户外
hlww	话务
*hlwy	话外音
*hlwy	话务员
*hlwz	化零为整
*hlxf	赫鲁晓夫
*hlxg	户型
*hlxi	话匣子
hlxl	欢心
*hlxl	诙谐
*hlxo	户县
*hlxq	欢欣
*hlxs	翰林学士
*hlxs	话匣
*hlxt	欢笑
*hlxu	欢喜
*hlxz	话匣子
*hly	话音
*hly	欢愉
*hly	讳言
*hlya	罕有
hlya	祸殃
*hlyc	欢迎词
*hlyh	话里有话
hlyh	话音
hlyh	欢颜
*hlyh	欢迎会
*hlyh	谎言
hlyh	讳言
*hlyl	话语
*hlym	黄粱一梦
hlyn	欢宴
*hlyn	欢愉
hlyn	欢悦
*hlyq	话语权
*hlys	欢娱
*hlyu	话语权
hlyw	罕用
*hlyw	欢迎
*hlzc	汇率政策
*hlzf	户政
*hlzh	洪涝灾害
*hlzh	户主
*hlzm	花剌子模
*hlzo	话中
*hlzs	罕至
*hlzt	混乱状态
*hlzv	诃子
#hm	烘
#hm	乎
#hm	火
#hma	豢
#hmak	豢
#hmav	烠
*hmb	烘焙
*hmbc	好马不吃回头草
*hmbj	火把节
*hmbk	火把
hmbm	烘焙
*hmbm	火爆
hmbm	火并
*hmbr	火暴
*hmbw	烩饼
*hmbx	昏迷不醒
*hmc	火成岩
*hmcb	火柴棒
*hmcg	火柴棍
*hmch	火柴盒
*hmci	火车站
*hmcl	烘衬
*hmcm	火炽
*hmcp	火车票
*hmcs	火车
*hmct	火车头
*hmcu	火场
*hmcy	火柴
*hmcy	火成岩
*hmcz	火车站
#hmd	貆
*hmda	火大
*hmdc	火电厂
*hmdg	火毒
*hmdi	火电站
*hmdo	火电
*hmdq	哈密地区
#hmdr	貆
*hmdu	哈密地区
*hmdu	火堆
*hmdx	合目的性
*hmdy	焊点
*hmdz	火电站
*hmed	汉密尔顿
#hmf	糊
#hmfm	烘
#hmfm	谼
*hmfn	焕发
#hmfv	煳
hmfv	糊
*hmfx	焊缝
*hmfz	焕发
*hmge	火罐儿
*hmgf	焊工
hmgf	火攻
*hmgg	烘干
*hmgi	毫米汞柱
*hmgj	烘干机
*hmgj	火光
*hmgl	汗马功劳
*hmgn	焊割
*hmgt	火罐
*hmgy	火锅
*hmgz	毫米汞柱
*hmh	烘烘
*hmh	糊糊
*hmha	忽明忽暗
*hmha	或明或暗
*hmhd	火海
*hmhe	火花
*hmhj	火候
hmhj	火化
#hmhj	㸌
hmhm	烘烘
*hmhm	乎乎
hmhm	糊糊
hmhm	煌煌
*hmhs	火花塞
*hmhw	火狐
*hmhx	火红
#hmi	乎
*hmia	火砖
*hmic	火葬场
hmic	火柱
*hmie	火葬
*hmih	糊状
#hmii	乎
*hmim	火烛
*hmin	火灾
*hmio	火中
*hmit	火种
*hmiy	火针
#hmj	烩
*hmj	火箭筒
*hmja	火碱
#hmjb	糇
*hmjc	火机
*hmjd	火箭弹
*hmje	火警
*hmjf	黄焖鸡米饭
#hmjg	烩
*hmjh	焊剂
*hmjh	后门进虎
#hmji	焓
*hmjk	焊接
*hmjl	荒谬绝伦
*hmjl	火鸡
hmjm	糊精
*hmjm	火炬
*hmjp	火箭炮
*hmjs	豪门巨室
*hmjt	火箭
*hmjt	火箭筒
*hmjw	火急
*hmk	火炕
*hmki	糊口
*hmkk	火控
*hmkm	烘烤
hmkm	火炕
hmkm	火烤
*hmku	火坑
*hmla	火龙
*hmld	横眉冷对
*hmld	火力点
*hmlg	火龙果
*hmlh	火辣
*hmli	横眉冷对千夫指
*hmll	火辣辣
*hmlm	横眉立目
*hmlm	火炉
hmln	火力
*hmln	火烈鸟
*hmlo	火里
*hmls	火轮
*hmlt	哈姆雷特
*hmlv	火了
*hmlw	火力网
*hmly	火镰
*hmlz	横眉冷对千夫指
*hmlz	火力
#hmm	烀
*hmma	烩面
*hmme	火苗
*hmmh	火魔
#hmmi	烀
hmmm	火
*hmmr	火麻仁
*hmng	糊弄
*hmnm	横眉怒目
*hmnw	火鸟
*hmny	好梦难圆
*hmpa	好马配好鞍
*hmpk	火拼
*hmpm	火炮
hmpm	火盆
*hmqc	焊枪
hmqc	火枪
*hmqd	火漆
*hmqg	火球
*hmqi	火器
*hmqn	火情
*hmqt	火气
*hmqu	火墙
*hmqy	火钳
#hmr	焊
hmrg	焊
#hmrg	煌
*hmrk	火热
*hmrs	讳莫如深
*hmrv	焕然
*hmrw	焕然
*hmrx	火绒
*hms	火山口
*hms	火山岩
*hmsa	火石
*hmsd	火山岛
*hmsf	火速
*hmsg	火参果
*hmsh	火山灰
*hmsi	火冒三丈
*hmsk	火山口
*hmsk	火势
*hmsl	火神
*hmsm	横眉竖目
*hmsm	火烧
*hmso	火山
hmso	火蛇
*hmst	火舌
*hmsw	火勺
*hmsx	焊丝
hmsx	火绳
*hmsy	横眉竖眼
*hmsy	火山岩
hmsy	火上
*hmsy	火烧云
*hmsz	火冒三丈
*hmt	糊涂虫
*hmt	糊涂蛋
*hmtc	糊涂虫
*hmtc	火腿肠
*hmtd	糊涂
*hmtd	糊涂蛋
*hmti	糊涂账
*hmtk	烘托
*hmtn	火头
*hmto	火炭
*hmts	火头上
*hmtu	火塘
*hmtv	火腿
*hmtw	焊条
*hmtz	糊涂账
*hmuc	焊枪
hmuc	火枪
*hmud	火漆
*hmug	火球
*hmui	火器
*hmun	火情
*hmut	火气
*hmuu	火墙
*hmuy	火钳
#hmw	焕
#hmwi	貉
#hmwo	焕
*hmwo	火网
*hmwr	火旺
*hmxc	和睦相处
*hmxg	火刑
*hmxn	火性
*hmxr	火星
*hmxs	火邪
*hmxt	烘箱
*hmxv	火险
*hmxx	火线
*hmxy	焊锡
*hmy	豢养
*hmyd	火源
*hmye	火药
*hmyk	火药库
hmym	豢养
*hmym	火焰
*hmyo	火眼
*hmys	火焰山
*hmyt	黄毛丫头
*hmyt	火药桶
*hmyw	火药味
*hmyx	回眸一笑
*hmza	火砖
*hmzc	火葬场
hmzc	火柱
*hmze	火葬
*hmzh	糊状
*hmzm	火烛
*hmzn	火灾
*hmzo	火中
*hmzt	火种
*hmzy	火针
#hn	害
#hn	贺
#hn	怀
#hna	宏
#hnak	怀
#hnal	憾
hnal	宏
#hnam	恢
*hnan	怀安
*hnax	怀安县
#hnb	恨
*hnba	恨不
*hnbc	海纳百川
*hnbd	海纳百川，有容乃大
*hnbd	好男不和女斗
*hnbd	恨不得
*hnbg	怀表
hnbh	害病
*hnbh	寒冰
*hnbi	很难保证
*hnbj	很难比较
hnbk	恨
*hnbk	怀抱
*hnbm	很难避免
*hnbn	恨不能
*hnbr	很难辨认
*hnbw	很难把握
*hnbz	很难保证
*hnc	恒常
*hnca	寒碜
*hncc	宏村
*hncd	寒潮
*hncd	汗牛充栋
*hncf	怀才
*hncg	怀春
*hnci	寒喘
*hncj	海内存知己
*hncj	寒伧
hncj	恒常
hncj	慌促
*hnck	怀揣
*hncl	贺词
hncn	害惨
*hncn	寒窗
*hnco	害虫
*hncq	豁出去
*hncs	很难承受
*hnct	贺辞
*hncu	豁出去
*hncv	豁出
*hncw	害处
*hncy	花鸟虫鱼
#hnd	恒
hnda	宏大
*hnda	豁达
*hndf	寒带
*hndf	很难对付
*hndg	恒动
*hndk	害得
*hndn	恒定
*hndo	贺电
*hndq	华南地区
#hndr	恒
*hnds	恒等式
*hndt	恒等
*hndu	华南地区
*hndw	寒冬
*hndx	湖南大学
#hne	慌
#hneh	慌
*hnem	怀俄明
*hneo	宏恩
#hnf	宦
#hnfc	宦
*hnfd	恢复到
#hnfi	怙
*hnfj	很难发觉
#hnfo	黉
*hnfq	患难夫妻
*hnfs	悍匪
hnfs	悍妇
*hnft	恢复
*hnfu	患难夫妻
*hnfw	寒风
*hnfx	很难发现
#hng	害
*hngb	很难改变
*hngb	悔改
hngf	怀古
*hngf	悔过
#hngi	害
*hngj	寒光
*hngl	宏观
*hngn	宦官
*hngs	悔过书
*hngx	宏观性
*hnh	怀恨
*hnh	恍惚
*hnh	恢宏
*hnhb	恢弘
*hnhd	恒河
hnhd	宦海
*hnhj	怀化
*hnhm	河南烩面
*hnhn	寒号鸟
hnhn	恨恨
hnhn	怀恨
hnhn	惶惶
hnhn	恍惚
hnhn	恢宏
hnhn	恢恢
*hnhn	悔恨
*hnhs	怀化市
*hnhs	惶惑
hnhs	悔婚
*hnhw	恍忽
*hnhy	何年何月
*hnia	寒砧
*hnib	慌张
*hnif	华南准静止锋
*hnih	寒颤
*hnii	海南藏族自治州
*hnii	黄南藏族自治州
*hnij	患难之交
*hnil	寒证
hnim	贺州
*hnim	怀着
*hnio	怀中
hnio	悔罪
*hnis	贺州市
*hniv	豁子
*hniw	很难掌握
hniw	宏旨
*hniy	寒战
*hniz	海南藏族自治州
*hniz	黄南藏族自治州
#hnj	恍
*hnja	寒厥
*hnjb	害己
*hnjf	宏基
*hnjh	悍将
hnji	寒噤
*hnji	怀旧
*hnjj	寒假
*hnjj	怀集
*hnjq	患难见真情
*hnju	患难见真情
*hnjw	恒久
hnjw	恍
*hnjx	怀集县
hnke	害苦
*hnke	寒苦
*hnkf	惶恐
*hnkg	豁开
*hnki	很难控制
*hnki	豁口
*hnkk	很难开口
*hnky	贺卡
*hnkz	很难控制
*hnl	寒凉
*hnl	寒露
*hnl	怀恋
*hnla	贺龙
*hnld	寒流
*hnlh	寒冷
hnlh	寒凉
hnlh	寒露
hnlh	宏亮
*hnlh	怀来
hnlh	怀恋
hnlh	豁亮
*hnlj	很难理解
*hnll	贺礼
hnll	宏论
*hnll	火奴鲁鲁
*hnlm	贺兰
*hnln	恒力
*hnln	红男绿女
*hnlo	怀里
*hnlr	恒量
*hnls	贺拉斯
*hnls	贺兰山
*hnlt	慌乱
*hnlv	害了
hnlv	慌了
*hnlx	贺兰县
*hnlx	华南理工大学
*hnlx	怀来县
*hnlz	恒力
#hnm	豁
*hnmc	寒梅
*hnme	寒芒
#hnmi	豁
*hnmj	害命
hnmj	寒门
*hnmn	慌忙
*hnmq	豁免权
*hnmt	寒毛
*hnmu	豁免权
*hnmw	豁免
*hnmx	悍马
*hnmx	河南蒙古族自治县
*hnmy	猴年马月
#hnn	寒
*hnn	怀宁
*hnnh	寒凝
*hnnj	怀念
*hnnk	贺年卡
hnnn	寒
hnnn	怀宁
#hnnn	逭
*hnnp	贺年片
*hnnr	寒暖
*hnnt	贺年
*hnnx	怀宁县
#hno	贺
#hnod	寰
#hnoj	贺
#hnok	贺
*hnpd	很难判断
*hnpn	害怕
*hnqb	很难区别
*hnqc	悔棋
*hnqf	很难区分
*hnqg	寰球
*hnqt	寒气
hnqt	寒秋
*hnr	害人精
#hnr	悍
*hnr	悍然
*hnrb	河南日报
*hnrc	害人虫
*hnre	恍若
hnrg	悍
#hnrg	惶
*hnrj	害人
*hnrj	害人精
*hnrj	怀仁
*hnrk	寒热
*hnrl	怀柔
*hnrq	怀柔区
*hnrs	恍如
*hnru	怀柔区
hnrv	悍然
hnrv	惶然
hnrv	恍然
*hnrv	豁然
hnrw	悍然
hnrw	惶然
hnrw	恍然
*hnrw	豁然
*hnrx	怀仁县
*hns	寒暑假
*hns	憾事
*hns	恒山
*hnsa	害死
hnsa	恨死
*hnsb	寒暑表
*hnsd	寒湿
*hnsf	寒酸
hnsf	憾事
hnsf	恨事
*hnsg	怀素
*hnsh	寒霜
*hnsj	寒舍
*hnsj	寒暑假
*hnsl	慌神
*hnsn	惶悚
hnso	寒山
*hnso	贺岁
hnso	恒山
*hnsp	贺岁片
*hnsr	寒暑
*hnst	恒生
*hnsu	寒士
*hnsv	害臊
*hnsx	华南师范大学
*hnsy	怀上
#hnt	悔
*hntd	很难听到
*hnth	宏替换
*hnto	宏图
*hntp	很难突破
*hntt	恨透
hntt	怀特
*hntv	怀胎
#hntx	悔
*hnty	很难统一
*hnub	很难区别
*hnuc	悔棋
*hnuf	很难区分
*hnug	寰球
*hnut	寒气
hnut	寒秋
*hnw	寒武纪
hnw	恒温
#hnw	惚
*hnwd	恒温
#hnwd	鲎
*hnwg	寒武
*hnwj	寒武纪
*hnwj	宏伟
*hnwk	寒微
#hnwl	惚
hnwn	恍悟
*hnwn	悔悟
#hnwo	鲎
*hnwq	宏伟区
*hnwr	恨晚
*hnwu	宏伟区
*hnx	寒暄
*hnxc	怀想
*hnxj	贺信
hnxl	寒心
*hnxl	恒心
*hnxm	害羞
*hnxn	寒宵
hnxn	寒性
hnxr	寒星
hnxr	寒暄
*hnxr	恒星
*hnxs	寒邪
*hnxu	贺喜
*hnxw	寒象
*hnxx	很难想象
*hnxx	很难想像
*hnxx	怀乡
*hny	寒夜
*hny	寒衣
*hny	恨意
*hnya	宏愿
hnya	怀有
*hnyc	花鸟鱼虫
*hnyd	宦游
*hnyf	很难应付
hnyg	宏远
*hnyg	怀疑过
hnyg	怀远
*hnyg	患难与共
hnyh	寒夜
hnyh	寒衣
*hnyh	寒意
hnyh	恨意
hnyh	悔意
*hnyi	豁牙子
*hnyl	悍勇
*hnyl	怀疑论
*hnym	寒烟
*hnyn	怀孕
hnyn	寰宇
*hnyq	怀孕期
*hnys	恒牙
*hnyu	宏业
*hnyu	怀孕期
*hnyw	怀疑
*hnyx	怀远县
*hnyx	悔约
*hnyz	怀孕
*hnyz	豁牙子
*hnza	寒砧
*hnzb	慌张
*hnzf	华南准静止锋
*hnzh	寒颤
*hnzi	海南藏族自治州
*hnzi	黄南藏族自治州
*hnzj	患难之交
*hnzl	寒证
